timestamp,x_axis_vibration_rms,x_axis_motor_current_a,y_axis_vibration_rms,z_axis_vibration_rms,z_axis_motor_current_a,toolhead_speed_deviation_pct,belt_tension_freq_hz,idler_noise_db,bearing_noise_db,ambient_humidity_pct,camera_clarity_score,hotend_fan_rpm,front_fan_rpm,aux_fan_rpm,nozzle_temp_c,first_layer_z_offset_mm,extrusion_pressure_pa,heater_block_temp_delta_c,extruder_motor_current_a,filament_feed_rate_mm_s,cutter_cycle_count
2026-03-04 00:00:00+00:00,0.1246,1.4735,0.1039,0.0722,0.9815,0.4643,48.2772,32.8702,26.9215,47.503,0.9484,4672.0896,3211.4521,5036.1335,210.9874,-0.0902,1185.8519,1.3231,0.8162,4.4424,0.0
2026-03-04 00:05:00.074423220+00:00,0.1044,1.4738,0.0924,0.0809,0.9093,0.4608,48.8296,30.0909,28.3029,44.1961,0.9483,4825.6041,3235.0967,4900.8056,212.749,-0.1101,1143.7044,1.8834,0.8616,4.5139,1.0
2026-03-04 00:10:00.148846440+00:00,0.1313,1.421,0.1051,0.0896,0.9457,1.2516,47.9139,33.7018,28.2038,46.5279,0.9612,4794.978,3174.8253,4981.17,207.3152,-0.0852,1184.3438,1.6908,0.8414,4.256,1.0
2026-03-04 00:15:00.223269660+00:00,0.1341,1.4565,0.087,0.0722,0.9366,0.3987,46.2089,30.4096,28.5699,47.0278,0.9035,4842.9933,3066.6242,4936.4976,210.2863,-0.1303,1203.7499,1.9508,0.8625,4.3758,3.0
2026-03-04 00:20:00.297692880+00:00,0.0907,1.538,0.1076,0.0798,0.9083,0.7971,48.9182,31.8409,28.3884,44.5562,0.953,4910.6573,3215.3525,5083.0991,209.2485,-0.1113,1241.0906,2.2935,0.8562,4.7223,3.0
2026-03-04 00:25:00.372116100+00:00,0.1005,1.4493,0.1165,0.0796,0.9064,1.0435,48.3202,31.473,28.4726,41.6588,0.938,4767.2864,3190.3403,4917.4174,209.9403,-0.0931,1179.759,2.251,0.8399,4.6309,3.0
2026-03-04 00:30:00.446539320+00:00,0.1219,1.4223,0.1196,0.0669,0.9258,0.7012,47.9735,32.5252,29.5825,43.1263,0.9355,4774.7515,3257.7838,5191.063,210.0676,-0.0878,1204.0276,1.0619,0.9065,4.6777,3.0
2026-03-04 00:35:00.520962540+00:00,0.1153,1.443,0.1085,0.0817,0.9308,0.2979,46.4157,31.2729,28.6866,43.8623,0.9241,4873.4505,3251.7186,5104.2694,209.5588,-0.0957,1140.2306,3.0319,0.8189,4.573,3.0
2026-03-04 00:40:00.595385760+00:00,0.1197,1.4537,0.0834,0.0803,0.9585,0.1147,47.7614,31.7622,28.5767,45.0782,0.9427,4751.7264,3136.27,4889.7548,208.3691,-0.0921,1151.3405,2.1565,0.8546,4.5377,3.0
2026-03-04 00:45:00.669808980+00:00,0.1072,1.444,0.1024,0.0856,0.9813,0.7236,47.2996,34.4283,25.909,49.7771,0.9397,4806.9914,3340.3494,5147.4585,208.4712,-0.0967,1123.8558,2.1158,0.8472,4.6432,3.0
